"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://beswib.com/es/legals/terms","2","Ámbito","6","Modelo C2B2C","12","Indexable",""
"https://beswib.com/pt/legals/terms","2","Âmbito","6","Modelo C2B2C","12","Indexable",""
"https://beswib.com/en/events/wkwz84ohf27ariu","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/vw36h00n8n6zk7s","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/1pg7681oa6hoy25","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/en/events/cezxm647325s155","1","Available Bibs for this Event","29","","0","Indexable",""
"https://beswib.com/nl/legals/legal-notice","2","Bedrijfsinformatie","18","Contact","7","Indexable",""
"https://beswib.com/nl/events/cezxm647325s155","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/wkwz84ohf27ariu","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/1pg7681oa6hoy25","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/nl/events/vw36h00n8n6zk7s","1","Beschikbare startnummers voor dit evenement","43","","0","Indexable",""
"https://beswib.com/en/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/en/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ko/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/81xcw85cv687o90","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/lx6f29z7ceq5c42","1","Bib information","15","","0","Indexable",""
"https://beswib.com/ro/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/5vm8708u44dfi74","1","Bib information","15","","0","Indexable",""
"https://beswib.com/nl/marketplace/r42069y3n9m6q2y","1","Bib information","15","","0","Indexable",""
