"Address","Occurrences","H2-1","H2-1 Length","Indexability","Indexability Status"
"https://beswib.com/en/faq","1","Beswib transforms bib transfer management into a win-win solution for everyone","78","Indexable",""
"https://beswib.com/en/events/wkwz84ohf27ariu","1","Available Bibs for this Event","29","Indexable",""
"https://beswib.com/en/events/vw36h00n8n6zk7s","1","Available Bibs for this Event","29","Indexable",""
"https://beswib.com/en/events/1pg7681oa6hoy25","1","Available Bibs for this Event","29","Indexable",""
"https://beswib.com/en/events/cezxm647325s155","1","Available Bibs for this Event","29","Indexable",""
"https://beswib.com/pt/faq","1","A Beswib transforma a gestão de transferências de dorsais numa solução vantajosa para todos","91","Indexable",""
"https://beswib.com/de/faq","1","Beswib verwandelt Startnummer-Transfer-Management in eine Win-Win-Lösung für alle","81","Indexable",""
"https://beswib.com/es/faq","1","Beswib transforma la gestión de transferencias de dorsales en una solución beneficiosa para todos","97","Indexable",""
"https://beswib.com/it/faq","1","Beswib trasforma la gestione dei trasferimenti di pettorali in una soluzione vantaggiosa per tutti","98","Indexable",""
"https://beswib.com/fr/faq","1","Beswib transforme la gestion des transferts de dossards en solution gagnante pour tous","86","Indexable",""
"https://beswib.com/nl/faq","1","Beswib transformeert startnummer-overdracht-beheer tot een win-win oplossing voor iedereen","90","Indexable",""
"https://beswib.com/ro/faq","1","Beswib transformă managementul transferurilor de numere într-o soluție câștigătoare pentru toți","95","Indexable",""
"https://beswib.com/ko/faq","1","Beswib은 빕 전송 관리를 모든 사람을 위한 윈-윈 솔루션으로 변환합니다","42","Indexable",""
"https://beswib.com/ko/events/vw36h00n8n6zk7s","1","이 이벤트에 사용 가능한 빕","15","Indexable",""
"https://beswib.com/ko/events/cezxm647325s155","1","이 이벤트에 사용 가능한 빕","15","Indexable",""
"https://beswib.com/ko/events/1pg7681oa6hoy25","1","이 이벤트에 사용 가능한 빕","15","Indexable",""
"https://beswib.com/ko/events/wkwz84ohf27ariu","1","이 이벤트에 사용 가능한 빕","15","Indexable",""
"https://beswib.com/ro/events/vw36h00n8n6zk7s","1","Numere de concurs disponibile pentru acest eveniment","52","Indexable",""
"https://beswib.com/ro/events/wkwz84ohf27ariu","1","Numere de concurs disponibile pentru acest eveniment","52","Indexable",""
"https://beswib.com/ro/events/1pg7681oa6hoy25","1","Numere de concurs disponibile pentru acest eveniment","52","Indexable",""
"https://beswib.com/ro/events/cezxm647325s155","1","Numere de concurs disponibile pentru acest eveniment","52","Indexable",""
"https://beswib.com/nl/events/cezxm647325s155","1","Beschikbare startnummers voor dit evenement","43","Indexable",""
"https://beswib.com/nl/events/wkwz84ohf27ariu","1","Beschikbare startnummers voor dit evenement","43","Indexable",""
"https://beswib.com/nl/events/1pg7681oa6hoy25","1","Beschikbare startnummers voor dit evenement","43","Indexable",""
"https://beswib.com/nl/events/vw36h00n8n6zk7s","1","Beschikbare startnummers voor dit evenement","43","Indexable",""
"https://beswib.com/fr/events/1pg7681oa6hoy25","1","Dossards disponibles pour cet événement","39","Indexable",""
"https://beswib.com/fr/events/wkwz84ohf27ariu","1","Dossards disponibles pour cet événement","39","Indexable",""
"https://beswib.com/fr/events/cezxm647325s155","1","Dossards disponibles pour cet événement","39","Indexable",""
"https://beswib.com/fr/events/vw36h00n8n6zk7s","1","Dossards disponibles pour cet événement","39","Indexable",""
"https://beswib.com/it/events/cezxm647325s155","1","Pettorine disponibili per questo evento","39","Indexable",""
"https://beswib.com/it/events/wkwz84ohf27ariu","1","Pettorine disponibili per questo evento","39","Indexable",""
"https://beswib.com/it/events/1pg7681oa6hoy25","1","Pettorine disponibili per questo evento","39","Indexable",""
"https://beswib.com/it/events/vw36h00n8n6zk7s","1","Pettorine disponibili per questo evento","39","Indexable",""
"https://beswib.com/es/events/cezxm647325s155","1","Dorsales disponibles para este evento","37","Indexable",""
"https://beswib.com/es/events/wkwz84ohf27ariu","1","Dorsales disponibles para este evento","37","Indexable",""
"https://beswib.com/es/events/1pg7681oa6hoy25","1","Dorsales disponibles para este evento","37","Indexable",""
"https://beswib.com/es/events/vw36h00n8n6zk7s","1","Dorsales disponibles para este evento","37","Indexable",""
"https://beswib.com/de/events/cezxm647325s155","1","Verfügbare Startnummern für dieses Event","40","Indexable",""
"https://beswib.com/de/events/vw36h00n8n6zk7s","1","Verfügbare Startnummern für dieses Event","40","Indexable",""
"https://beswib.com/de/events/wkwz84ohf27ariu","1","Verfügbare Startnummern für dieses Event","40","Indexable",""
"https://beswib.com/de/events/1pg7681oa6hoy25","1","Verfügbare Startnummern für dieses Event","40","Indexable",""
"https://beswib.com/pt/events/vw36h00n8n6zk7s","1","Dorsais disponíveis para este evento","36","Indexable",""
"https://beswib.com/pt/events/1pg7681oa6hoy25","1","Dorsais disponíveis para este evento","36","Indexable",""
"https://beswib.com/pt/events/wkwz84ohf27ariu","1","Dorsais disponíveis para este evento","36","Indexable",""
"https://beswib.com/pt/events/cezxm647325s155","1","Dorsais disponíveis para este evento","36","Indexable",""
